# X    U     P    rho
0.818 0 404400 4.696
0.819 0 404400 4.696
0.82 0 404400 4.696
0.821 0 404400 4.696
0.822 0 404400 4.696
0.823 0 404400 4.696
0.824 0 404400 4.696
0.825 0 404400 4.696
0.826 0 404400 4.696
0.827 0 404400 4.696
0.828 0 404400 4.696
0.829 0 404400 4.696
0.83 0 404400 4.696
0.831 0 404400 4.696
0.832 0 404400 4.696
0.833 0 404400 4.696
0.834 0 404400 4.696
0.835 0 404400 4.696
0.836 0 404400 4.696
0.837 0 404400 4.696
0.838 0 404400 4.696
0.839 0 404400 4.696
0.84 0 404400 4.696
0.841 0 404400 4.696
0.842 0 404400 4.696
0.843 0 404400 4.696
0.844 0 404400 4.696
0.845 0 404400 4.696
0.846 0 404400 4.696
0.847 0 404400 4.696
0.848 0 404400 4.696
0.849 0 404400 4.696
0.85 0 404400 4.696
0.851 0 404400 4.696
0.852 0 404400 4.696
0.853 0 404400 4.696
0.854 0 404400 4.696
0.855 0 404400 4.696
0.856 0 404400 4.696
0.857 0 404400 4.696
0.858 0 404400 4.696
0.859 0 404400 4.696
0.86 0 404400 4.696
0.861 0 404400 4.696
0.862 0 404400 4.696
0.863 0 404400 4.696
0.864 0 404400 4.696
0.865 0 404400 4.696
0.866 0 404400 4.696
0.867 0 404400 4.696
0.868 0 404400 4.696
0.869 0 404400 4.696
0.87 0 404400 4.696
0.871 0 404400 4.696
0.872 0 404400 4.696
0.873 0 404400 4.696
0.874 0 404400 4.696
0.875 0 404400 4.696
0.876 0 404400 4.696
0.877 0 404400 4.696
0.878 0 404400 4.696
0.879 0 404400 4.696
0.88 0 404400 4.696
0.881 0 404400 4.696
0.882 0 404400 4.696
0.883 0 404400 4.696
0.884 0 404400 4.696
0.885 0 404400 4.696
0.886 0 404400 4.696
0.887 0 404400 4.696
0.888 0 404400 4.696
0.889 0 404400 4.696
0.89 0 404400 4.696
0.891 0 404400 4.696
0.892 0 404400 4.696
0.893 0 404400 4.696
0.894 0 404400 4.696
0.895 0 404400 4.696
0.896 0 404400 4.696
0.897 0 404400 4.696
0.898 0 404400 4.696
0.899 0 404400 4.696
0.9 0 404400 4.696
0.901 0 404400 4.696
0.902 0 404400 4.696
0.903 0 404400 4.696
0.904 0 404400 4.696
0.905 0 404400 4.696
0.906 0 404400 4.696
0.907 0 404400 4.696
0.908 0 404400 4.696
0.909 0 404400 4.696
0.91 0 404400 4.696
0.911 0 404400 4.696
0.912 0 404400 4.696
0.913 0 404400 4.696
0.914 0 404400 4.696
0.915 0 404400 4.696
0.916 0 404400 4.696
0.917 0 404400 4.696
0.918 0 404400 4.696
0.919 0 404400 4.696
0.92 0 404400 4.696
0.921 0 404400 4.696
0.922 0 404400 4.696
0.923 0 404400 4.696
0.924 0 404400 4.696
0.925 0 404400 4.696
0.926 0 404400 4.696
0.927 0 404400 4.696
0.928 0 404400 4.696
0.929 0 404400 4.696
0.93 0 404400 4.696
0.931 0 404400 4.696
0.932 0 404400 4.696
0.933 0 404400 4.696
0.934 0 404400 4.696
0.935 0 404400 4.696
0.936 0 404400 4.696
0.937 0 404400 4.696
0.938 0 404400 4.696
0.939 0 404400 4.696
0.94 0 404400 4.696
0.941 0 404400 4.696
0.942 0 404400 4.696
0.943 0 404400 4.696
0.944 0 404400 4.696
0.945 0 404400 4.696
0.946 0 404400 4.696
0.947 0 404400 4.696
0.948 0 404400 4.696
0.949 0 404400 4.696
0.95 0 404400 4.696
0.951 0 404400 4.696
0.952 0 404400 4.696
0.953 0 404400 4.696
0.954 0 404400 4.696
0.955 0 404400 4.696
0.956 0 404400 4.696
0.957 0 404400 4.696
0.958 0 404400 4.696
0.959 0 404400 4.696
0.96 0 404400 4.696
0.961 0 404400 4.696
0.962 0 404400 4.696
0.963 0 404400 4.696
